channel,condition,local_sharpness,global_sharpness,x_local,y_local
143,+50%,0.003841,0.012975,0.002202,0.005481
144,Clean,0.003480,0.015667,0.002191,0.004768
144,+30%,0.004324,0.012789,0.004918,0.003730
144,+50%,0.003774,0.013441,0.002094,0.005454
145,Clean,0.003629,0.016668,0.003653,0.003606
145,+30%,0.007782,0.010288,0.009993,0.005571
145,+50%,0.007676,0.008979,0.008126,0.007226
146,Clean,0.003035,0.014266,0.001683,0.004388
146,+30%,0.008574,0.010234,0.005481,0.011668
146,+50%,0.008531,0.009684,0.005550,0.011511
147,Clean,0.003079,0.015315,0.003077,0.003081
147,+30%,0.009322,0.008721,0.007533,0.011110
147,+50%,0.008995,0.008956,0.004223,0.013767
148,Clean,0.003440,0.015051,0.002485,0.004396
148,+30%,0.006133,0.011187,0.009268,0.002999
148,+50%,0.008160,0.009416,0.011431,0.004889
149,Clean,0.003262,0.014859,0.002256,0.004269
149,+30%,0.007879,0.008580,0.005981,0.009778
149,+50%,0.007482,0.008738,0.009828,0.005136
150,Clean,0.003473,0.016537,0.002587,0.004358
150,+30%,0.007877,0.010102,0.002118,0.013635
150,+50%,0.008402,0.010420,0.001860,0.014944
151,Clean,0.003740,0.017620,0.003759,0.003720
151,+30%,0.004512,0.011542,0.006073,0.002951
151,+50%,0.010220,0.011092,0.014018,0.006422
152,Clean,0.004366,0.017947,0.004256,0.004477
152,+30%,0.010382,0.012078,0.013254,0.007510
152,+50%,0.006456,0.014576,0.008154,0.004757
153,Clean,0.003793,0.017079,0.003140,0.004446
153,+30%,0.006579,0.013264,0.004408,0.008750
153,+50%,0.007420,0.010401,0.002499,0.012341
154,Clean,0.003897,0.017544,0.003091,0.004703
154,+30%,0.004470,0.012066,0.004749,0.004190
154,+50%,0.008257,0.008897,0.011753,0.004762
155,Clean,0.003960,0.016786,0.004201,0.003718
155,+30%,0.008091,0.012557,0.011010,0.005171
155,+50%,0.005365,0.009720,0.007742,0.002989
156,Clean,0.003313,0.015357,0.002504,0.004122
156,+30%,0.003309,0.010901,0.002269,0.004349
156,+50%,0.008233,0.009466,0.006168,0.010298
157,Clean,0.003659,0.017006,0.003047,0.004272
157,+30%,0.005408,0.014904,0.003257,0.007558
157,+50%,0.005748,0.013768,0.008170,0.003325
158,Clean,0.003650,0.015976,0.003186,0.004114
158,+30%,0.004432,0.011616,0.005269,0.003596
158,+50%,0.007320,0.010026,0.007440,0.007201
159,Clean,0.003663,0.016630,0.001836,0.005491
159,+30%,0.004761,0.015880,0.003813,0.005708
159,+50%,0.007621,0.011497,0.001452,0.013789
160,Clean,0.003018,0.014521,0.003061,0.002974
160,+30%,0.005103,0.013432,0.006984,0.003223
160,+50%,0.004021,0.012463,0.004924,0.003117
161,Clean,0.003606,0.017242,0.003790,0.003422
161,+30%,0.003860,0.011648,0.002834,0.004885
161,+50%,0.007456,0.010524,0.012738,0.002175
162,Clean,0.003343,0.016262,0.003686,0.003000
162,+30%,0.007711,0.011524,0.005078,0.010344
162,+50%,0.004844,0.012937,0.006464,0.003224
163,Clean,0.003789,0.016372,0.003383,0.004195
163,+30%,0.004157,0.010045,0.005926,0.002388
163,+50%,0.006147,0.010782,0.002972,0.009322
164,Clean,0.002956,0.013869,0.002286,0.003626
164,+30%,0.003087,0.011981,0.001771,0.004402
164,+50%,0.006261,0.008740,0.003227,0.009294
165,Clean,0.003239,0.015319,0.003717,0.002761
165,+30%,0.004112,0.012132,0.004207,0.004018
165,+50%,0.003339,0.015367,0.004173,0.002505
166,Clean,0.003875,0.016982,0.003596,0.004154
166,+30%,0.007670,0.012294,0.003592,0.011748
166,+50%,0.008232,0.009414,0.011576,0.004889
167,Clean,0.003863,0.016978,0.002307,0.005420
167,+30%,0.009332,0.010353,0.009734,0.008930
167,+50%,0.009641,0.009207,0.009019,0.010262
168,Clean,0.002906,0.014293,0.003018,0.002793
168,+30%,0.008980,0.008958,0.013990,0.003969
168,+50%,0.010840,0.010077,0.018756,0.002924
169,Clean,0.004101,0.017811,0.003099,0.005103
169,+30%,0.006092,0.013180,0.004461,0.007724
169,+50%,0.009058,0.008763,0.003901,0.014214
170,Clean,0.002856,0.014998,0.002872,0.002839
170,+30%,0.007304,0.011221,0.007877,0.006732
170,+50%,0.005185,0.011649,0.005290,0.005079
171,Clean,0.003295,0.016262,0.003511,0.003080
171,+30%,0.007609,0.008955,0.010912,0.004306
171,+50%,0.007725,0.008224,0.008221,0.007229
172,Clean,0.003142,0.014561,0.002253,0.004031
172,+30%,0.008311,0.008443,0.006330,0.010293
172,+50%,0.009125,0.008860,0.007886,0.010363
173,Clean,0.003754,0.016010,0.003778,0.003731
173,+30%,0.007934,0.008887,0.001924,0.013944
173,+50%,0.008739,0.009821,0.002057,0.015420
174,Clean,0.004052,0.018383,0.003908,0.004195
174,+30%,0.007162,0.011686,0.001995,0.012329
174,+50%,0.007402,0.009119,0.001194,0.013609
175,Clean,0.002902,0.013930,0.002466,0.003338
175,+30%,0.005875,0.009097,0.005596,0.006154
175,+50%,0.005498,0.011286,0.005103,0.005894
176,Clean,0.003763,0.017461,0.003545,0.003981
176,+30%,0.006333,0.011822,0.010156,0.002509
